Violation ID,Vehicle ID,First Occurrence,Last Occurrence,Violation Status,Violation Type,Bus Route ID,Violation Latitude,Violation Longitude,Stop ID,Stop Name,Bus Stop Latitude,Bus Stop Longitude,Violation Georeference,Bus Stop Georeference
398965567,fa080cb63dd885ea60f100399b4e2470faac8cbac59f6939554f05e205633378,12/29/2023 07:15:31 AM,12/29/2023 07:34:04 AM,VIOLATION ISSUED,MOBILE BUS LANE,B44+,40.698111,-73.95683,303417,BEDFORD AV/LAFAYETTE AV,40.689351,-73.955002,POINT (-73.95683 40.698111),POINT (-73.955002 40.689351)
398928636,c664d111d8e672887eeac3bce7c509939212b6992cde5fd58e24e446c21a3d68,12/27/2023 06:27:53 PM,12/28/2023 04:56:06 PM,VIOLATION ISSUED,MOBILE BUS LANE,B44+,40.630718,-73.947464,308857,NOSTRAND AV/AV R,40.607249,-73.943139,POINT (-73.947464 40.630718),POINT (-73.943139 40.607249)
398927783,7da7ad758751fa3e04ca63320a21fb65636774b3224c2fc446f6a16baeb40782,12/27/2023 06:25:18 PM,12/28/2023 04:45:39 PM,VIOLATION ISSUED,MOBILE BUS LANE,B44+,40.667612,-73.950705,303459,NOSTRAND AV/ST JOHNS PL,40.670871,-73.950508,POINT (-73.950705 40.667612),POINT (-73.950508 40.670871)
398921905,4b96f20007884a76720ba11ca0023230e77325250711e9da341b66070bdacd34,12/27/2023 06:29:46 PM,12/27/2023 06:41:38 PM,VIOLATION ISSUED,MOBILE BUS LANE,B44+,40.633715,-73.947759,303477,NOSTRAND AV/NEWKIRK AV,40.640085,-73.948517,POINT (-73.947759 40.633715),POINT (-73.948517 40.640085)
398852734,889e2fc00981675edd472d82d3a581b0156216501cfcdba3f1dfc87223be85e7,12/28/2023 07:55:16 AM,12/28/2023 08:51:15 AM,EXEMPT - EMERGENCY VEHICLE,MOBILE BUS LANE,B44+,40.696872,-73.956578,303417,BEDFORD AV/LAFAYETTE AV,40.689351,-73.955002,POINT (-73.956578 40.696872),POINT (-73.955002 40.689351)
398852713,2610b25d64d429b456323d15b8fb774402eab705450b92e895f8b49e2a055701,12/28/2023 08:46:35 AM,12/28/2023 09:05:55 AM,VIOLATION ISSUED,MOBILE BUS LANE,B44+,40.696121,-73.956441,303417,BEDFORD AV/LAFAYETTE AV,40.689351,-73.955002,POINT (-73.956441 40.696121),POINT (-73.955002 40.689351)
398852706,0f935bc31a8d2088500007f7204f0e6a84654211daabf2baeba6fd65746accec,12/28/2023 03:33:12 PM,12/28/2023 03:51:17 PM,VIOLATION ISSUED,MOBILE BUS LANE,B44+,40.633275,-73.947719,303477,NOSTRAND AV/NEWKIRK AV,40.640085,-73.948517,POINT (-73.947719 40.633275),POINT (-73.948517 40.640085)
398852697,effc34055df8b8344d0182fe9a8a28917af2b0a8b82c0ed048803e3a38cdb311,12/28/2023 06:25:47 PM,12/28/2023 06:43:20 PM,VIOLATION ISSUED,MOBILE BUS LANE,B44+,40.633675,-73.947745,303477,NOSTRAND AV/NEWKIRK AV,40.640085,-73.948517,POINT (-73.947745 40.633675),POINT (-73.948517 40.640085)
398852695,7d864e5bb447b9d39fd3efcacca1e830009b818676b7afa89a4a7d2a9a5cd052,12/28/2023 09:42:58 AM,12/28/2023 10:26:56 AM,TECHNICAL ISSUE/OTHER,MOBILE BUS LANE,B44+,40.657096,-73.950226,303463,NOSTRAND AV/EMPIRE BL,40.663474,-73.951015,POINT (-73.950226 40.657096),POINT (-73.951015 40.663474)
398852693,0b7be16f2ea89700d00917a98f1d2cef4177e2cab80b7588042a08c4855023f3,12/28/2023 06:44:27 PM,12/28/2023 06:49:42 PM,VIOLATION ISSUED,MOBILE BUS LANE,B44+,40.668517,-73.953423,303950,ROGERS AV/EMPIRE BL,40.663626,-73.953748,POINT (-73.953423 40.668517),POINT (-73.953748 40.663626)
398852678,b33d883c3d636d1c13ce8d6f23233a30605cbea88ea30a6363f73b1ebc969f6d,12/28/2023 05:55:02 PM,12/28/2023 06:21:01 PM,VIOLATION ISSUED,MOBILE BUS LANE,B44+,40.641564,-73.948573,307737,NOSTRAND AV/CHURCH AV,40.650362,-73.949609,POINT (-73.948573 40.641564),POINT (-73.949609 40.650362)
398852676,af1e10b01adae5d61e080fba25ee1c86b6247a73df3d446a42937df30709fe00,12/28/2023 06:26:04 PM,12/28/2023 06:50:30 PM,VIOLATION ISSUED,MOBILE BUS LANE,B44+,40.630129,-73.947421,303376,NOSTRAND AV/AV L,40.62188,-73.945851,POINT (-73.947421 40.630129),POINT (-73.945851 40.62188)
398852673,26e8d31fa5da454706f13265305d055020ffdf230726473e37cf7e7c334c33c4,12/28/2023 05:45:04 PM,12/28/2023 05:59:49 PM,VIOLATION ISSUED,MOBILE BUS LANE,B44+,40.633705,-73.947759,303477,NOSTRAND AV/NEWKIRK AV,40.640085,-73.948517,POINT (-73.947759 40.633705),POINT (-73.948517 40.640085)
398852668,f7eef98adfe4248f445f12ad7964ae03d07b39658dadd8202ffbdbfc00a9943e,12/28/2023 03:29:16 PM,12/28/2023 03:49:51 PM,VIOLATION ISSUED,MOBILE BUS LANE,B44+,40.633696,-73.947758,303477,NOSTRAND AV/NEWKIRK AV,40.640085,-73.948517,POINT (-73.947758 40.633696),POINT (-73.948517 40.640085)
398852667,61997d4bd77cc02fbe7384cd56d5544b3adfbf6b5403896c7ad0b2b955348063,12/28/2023 06:26:03 PM,12/28/2023 06:50:29 PM,TECHNICAL ISSUE/OTHER,MOBILE BUS LANE,B44+,40.630054,-73.947413,303376,NOSTRAND AV/AV L,40.62188,-73.945851,POINT (-73.947413 40.630054),POINT (-73.945851 40.62188)
398852665,78231991c1770e4c88a806d82ea06632edfb56439bd02bcbaf840a47ddee442d,12/28/2023 02:43:30 PM,12/28/2023 02:56:07 PM,VIOLATION ISSUED,MOBILE BUS LANE,B44+,40.698864,-73.953236,303441,LEE AV/FLUSHING AV,40.699506,-73.953484,POINT (-73.953236 40.698864),POINT (-73.953484 40.699506)
398852664,1e5f717ea450a53278ee5c4a61f6fb248851402feb6cdf713ba981cffb36e3f2,12/28/2023 08:28:17 AM,12/28/2023 08:44:05 AM,VIOLATION ISSUED,MOBILE BUS LANE,B44+,40.691548,-73.955534,303417,BEDFORD AV/LAFAYETTE AV,40.689351,-73.955002,POINT (-73.955534 40.691548),POINT (-73.955002 40.689351)
398852659,b5be007f85ca052a7c3db013d5c7cf0214ec0a1aaaa2e6f62e831e35d45d6056,12/28/2023 09:07:08 AM,12/28/2023 09:43:31 AM,VIOLATION ISSUED,MOBILE BUS LANE,B44+,40.697034,-73.956635,303417,BEDFORD AV/LAFAYETTE AV,40.689351,-73.955002,POINT (-73.956635 40.697034),POINT (-73.955002 40.689351)
398852657,575068803b159493f76fa75078b0cec5b5cd5ee47920a251461f43c18c34c017,12/28/2023 04:45:39 PM,12/28/2023 05:13:34 PM,VIOLATION ISSUED,MOBILE BUS LANE,B44+,40.667551,-73.950705,303459,NOSTRAND AV/ST JOHNS PL,40.670871,-73.950508,POINT (-73.950705 40.667551),POINT (-73.950508 40.670871)
398852655,ab54bd86f19f28ac1eb39fc48e4f4f4307d23f8a18e6179cb042fe969707856f,12/28/2023 04:33:27 PM,12/28/2023 04:59:56 PM,VIOLATION ISSUED,MOBILE BUS LANE,B44+,40.633761,-73.94776,303477,NOSTRAND AV/NEWKIRK AV,40.640085,-73.948517,POINT (-73.94776 40.633761),POINT (-73.948517 40.640085)
398852651,7a677f21357109263d97e2975275f60416ab281877e91a2ab5614e4c703c9baa,12/28/2023 12:33:45 PM,12/28/2023 01:11:11 PM,VIOLATION ISSUED,MOBILE BUS LANE,B44+,40.646095,-73.949062,307737,NOSTRAND AV/CHURCH AV,40.650362,-73.949609,POINT (-73.949062 40.646095),POINT (-73.949609 40.650362)
398852649,e2e37355d28a49f611255609fd1c6ba10315e797b6d851447dc23bf950cdb1d1,12/28/2023 04:29:32 PM,12/28/2023 04:47:04 PM,VIOLATION ISSUED,MOBILE BUS LANE,B44+,40.665205,-73.95095,303459,NOSTRAND AV/ST JOHNS PL,40.670871,-73.950508,POINT (-73.95095 40.665205),POINT (-73.950508 40.670871)
398852648,65e3bb050d89eae3d4293f4b9ff43fc055a320849b7a1503344cc122b6884b12,12/28/2023 05:15:03 PM,12/28/2023 05:26:02 PM,VIOLATION ISSUED,MOBILE BUS LANE,B44+,40.665157,-73.950936,303459,NOSTRAND AV/ST JOHNS PL,40.670871,-73.950508,POINT (-73.950936 40.665157),POINT (-73.950508 40.670871)
398852640,5821da970bb58cbb7c32f2f49049179ba7b68f81684b93c79f48e12afb27e8e9,12/28/2023 06:24:50 PM,12/28/2023 06:43:01 PM,VIOLATION ISSUED,MOBILE BUS LANE,B44+,40.634775,-73.947872,303477,NOSTRAND AV/NEWKIRK AV,40.640085,-73.948517,POINT (-73.947872 40.634775),POINT (-73.948517 40.640085)
398852639,3fc7b042dac3ebf23d5013c3f7587668419494f0e309788ea2637fb1882c3f79,12/28/2023 10:58:01 AM,12/28/2023 11:18:04 AM,EXEMPT - BUS/PARATRANSIT,MOBILE BUS LANE,B44+,40.69582,-73.952626,303441,LEE AV/FLUSHING AV,40.699506,-73.953484,POINT (-73.952626 40.69582),POINT (-73.953484 40.699506)
