Violation ID,Vehicle ID,First Occurrence,Last Occurrence,Violation Status,Violation Type,route_id_left,Stop ID,Stop Name,geometry,index_right,route_id_right,direction,segment_number,speed,trips,dist_meters,longitude,latitude
352355258,f31034de7883a465d002e8c0127ab6b95de01e09afadda0fab844ff8cf21efc4,01/31/2023 06:11:26 PM,01/31/2023 06:20:57 PM,VIOLATION ISSUED,MOBILE BUS LANE,B44+,303477,NOSTRAND AV/NEWKIRK AV,POINT (-73.9476056666667 40.6334963333333),19,B44+,S,2,8.73438164052674,6736,0.00012914006400957629,-73.9476056666667,40.6334963333333
352346872,bf3d0479941a22f007ef21e7ae06eb0003c93c7278d80d5fdc9e78105accf330,01/31/2023 05:26:00 PM,01/31/2023 05:43:00 PM,VIOLATION ISSUED,MOBILE BUS LANE,B44+,303477,NOSTRAND AV/NEWKIRK AV,POINT (-73.947616 40.6333015),19,B44+,S,2,8.73438164052674,6736,0.00010553989783733424,-73.947616,40.6333015
352342761,ab6acec9f497d9a2989280c2a81282e4f86a868bf3968028173a5be32745ecc3,01/31/2023 04:35:00 PM,01/31/2023 05:03:00 PM,VIOLATION ISSUED,MOBILE BUS LANE,B44+,303477,NOSTRAND AV/NEWKIRK AV,POINT (-73.947727 40.63343633),19,B44+,S,2,8.73438164052674,6736,3.996139424953452e-06,-73.947727,40.63343633
352338288,988cb49a3b86fab1cd82ca4d32c9b2f29dfb83cbbcb06de69305fa02f6f91ba1,01/31/2023 04:04:00 PM,01/31/2023 04:24:00 PM,VIOLATION ISSUED,MOBILE BUS LANE,B44+,303441,LEE AV/FLUSHING AV,POINT (-73.953407 40.69906867),19,B44+,S,2,8.73438164052674,6736,0.00012292643395272424,-73.953407,40.69906867
352335635,ec80d0f3597854dd89612aaf2942cd3646bf7d1b0f0a00f3218610c37b171327,01/31/2023 03:48:00 PM,01/31/2023 04:12:00 PM,VIOLATION ISSUED,MOBILE BUS LANE,B44+,901278,NOSTRAND AV/AV H,POINT (-73.947596 40.6319045),19,B44+,S,2,8.73438164052674,6736,1.5313724593481998e-05,-73.947596,40.6319045
352321249,942cdade9269d0c65d9e4968345ee423e239f28af31bf7121e65aea9fd92e6ba,01/31/2023 01:31:00 PM,01/31/2023 02:11:00 PM,VIOLATION ISSUED,MOBILE BUS LANE,B44+,303441,LEE AV/FLUSHING AV,POINT (-73.95239983 40.69469567),19,B44+,S,2,8.73438164052674,6736,3.641924429742606e-05,-73.95239983,40.69469567
352316915,093ce592e9aaa80fd19d4e444a2efa3866896ef68e6e52798ebd012e41018720,01/31/2023 02:48:29 PM,01/31/2023 02:54:04 PM,EXEMPT - EMERGENCY VEHICLE,MOBILE BUS LANE,B44+,901278,NOSTRAND AV/AV H,POINT (-73.9475626666667 40.6316076666667),19,B44+,S,2,8.73438164052674,6736,1.6982611993549663e-05,-73.9475626666667,40.6316076666667
352316832,b084ad0fe5d624578247d5eb84171b3be5b21228a8070090c79a87f3fb71d25e,01/31/2023 06:11:00 PM,01/31/2023 06:41:00 PM,VIOLATION ISSUED,MOBILE BUS LANE,B44+,303477,NOSTRAND AV/NEWKIRK AV,POINT (-73.94770517 40.6336635),19,B44+,S,2,8.73438164052674,6736,4.127209459339883e-05,-73.94770517,40.6336635
352314689,8e17359eced39f95d4520c78b80214a3bd5546f887ca0f883b1ebfb2c776cf24,01/31/2023 08:37:51 AM,01/31/2023 08:48:19 AM,EXEMPT - EMERGENCY VEHICLE,MOBILE BUS LANE,B44+,303477,NOSTRAND AV/NEWKIRK AV,POINT (-73.9478143333333 40.633656),19,B44+,S,2,8.73438164052674,6736,6.814857099025964e-05,-73.9478143333333,40.633656
352314682,726a1e815320c7c85f291ea9f53a84b1736a8c8ebfdc851bff6310f331daddd4,01/31/2023 11:07:20 AM,01/31/2023 11:38:44 AM,TECHNICAL ISSUE/OTHER,MOBILE BUS LANE,B44+,303469,NOSTRAND AV/CLARKSON AV,POINT (-73.949804 40.6535605),19,B44+,S,2,8.73438164052674,6736,6.408495338781782e-05,-73.949804,40.6535605
352310303,2d3d13edcd28dc868474078a26e253d1254cba77eab19782330819ed6053627c,01/31/2023 09:52:35 AM,01/31/2023 12:21:01 PM,TECHNICAL ISSUE/OTHER,MOBILE BUS LANE,B44+,303469,NOSTRAND AV/CLARKSON AV,POINT (-73.9496928333333 40.6535368333333),19,B44+,S,2,8.73438164052674,6736,0.0001721389943907876,-73.9496928333333,40.6535368333333
352308285,b6023cb9fb5024fd9cd6fd644696896fa9410b06c4990fe788d3dcf63f4d39e4,01/31/2023 04:21:33 PM,01/31/2023 04:27:34 PM,VIOLATION ISSUED,MOBILE BUS LANE,B44+,303937,ROGERS AV/AV D,POINT (-73.9515583333333 40.6422833333333),16,B44+,N,4,8.170483654519208,145,2.5093828367892387e-07,-73.9515583333333,40.6422833333333
352308285,b6023cb9fb5024fd9cd6fd644696896fa9410b06c4990fe788d3dcf63f4d39e4,01/31/2023 04:21:33 PM,01/31/2023 04:27:34 PM,VIOLATION ISSUED,MOBILE BUS LANE,B44+,303937,ROGERS AV/AV D,POINT (-73.9515583333333 40.6422833333333),13,B44+,N,1,8.985104512569402,6778,2.5093828367892387e-07,-73.9515583333333,40.6422833333333
352308237,f9b21667d7870df95fe21a74f586ba2f87402057490f4a241650e0ae65995734,01/31/2023 05:41:00 PM,01/31/2023 06:09:00 PM,VIOLATION ISSUED,MOBILE BUS LANE,B44+,303477,NOSTRAND AV/NEWKIRK AV,POINT (-73.947765 40.63381),19,B44+,S,2,8.73438164052674,6736,8.424773304068633e-06,-73.947765,40.63381
